Country Name;nome_portugues;nome_para_tabela_de_vinho
Aruba;Aruba;Aruba
Afghanistan;Afeganistão;Afeganistão
Germany;Alemanha;Alemanha, República Democrática
Angola;Angola;Angola
Antigua and Barbuda;Antígua e Barbuda;Antígua e Barbuda
Argentina;Argentina;Argentina
United Arab Emirates;Emirados Árabes Unidos;Emirados Arabes Unidos
Australia;Austrália;Austrália
Austria;Áustria;Áustria
Bahamas, The;Bahamas;Bahamas
Bangladesh;Bangladesh;Bangladesh
Barbados;Barbados;Barbados
Bahrain;Bahrain;Barein
Belgium;Bélgica;Bélgica
Belize;Belize;Belice
Benin;Benin;Benin
Bolivia;Bolívia;Bolívia
Bosnia and Herzegovina;Bósnia e Herzegovina;Bósnia-Herzegovina
Brazil;Brasil;Brasil
Bulgaria;Bulgária;Bulgária
Cabo Verde;Cabo Verde;Cabo Verde
Cameroon;Camarões;Camarões
Canada;Canadá;Canadá
Cayman Islands;Ilhas Cayman;Ilhas Cayman
Chile;Chile;Chile
China;China;China
Cyprus;Chipre;Chipre
Colombia;Colômbia;Colômbia
Comoros;Comores;Comores
Cote d'Ivoire;Costa do Marfim;Costa do Marfim
Costa Rica;Costa Rica;Costa Rica
Switzerland;Suíça;Suíça
Croatia;Croácia;Croácia
Cuba;Cuba;Cuba
Curacao;Curaçao;Curaçao
Denmark;Dinamarca;Dinamarca
Dominica;Dominica;Dominica
Ecuador;Equador;Equador
Spain;Espanha;Espanha
Estonia;Estônia;Estônia
Finland;Finlândia;Finlândia
France;França;França
Ghana;Gana;Gana
Gibraltar;Gibraltar;Gibraltar
Czechia;República Tcheca;Tcheca, República
Greece;Grécia;Grécia
Guatemala;Guatemala;Guatemala
Guyana;Guiana;Guiana
Guinea-Bissau;Guiné-Bissau;Guine Bissau
Dominican Republic;República Dominicana;República Dominicana
Equatorial Guinea;Guiné Equatorial;Guine Equatorial
Haiti;Haiti;Haiti
Honduras;Honduras;Honduras
Hong Kong SAR, China;Região Administrativa Especial de Hong Kong, China;Hong Kong
Hungary;Hungria;Hungria
Isle of Man;Ilha de Man;Ilha de Man
India;Índia;Índia
Indonesia;Indonésia;Indonésia
Iran, Islamic Rep.;Irã, República Islâmica;Irã
Iraq;Iraque;Iraque
Ireland;Irlanda;Irlanda
Italy;Itália;Itália
Jamaica;Jamaica;Jamaica
Japan;Japão;Japão
Jordan;Jordânia;Jordânia
United Kingdom;Reino Unido;Reino Unido
Kenya;Quênia;Quênia
Korea, Rep.;Coreia, República da;Coreia, República Sul
Lebanon;Líbano;Líbano
Liberia;Libéria;Libéria
Luxembourg;Luxemburgo;Luxemburgo
Latvia;Letônia;Letônia
Mexico;México;México
Marshall Islands;Ilhas Marshall;Ilhas Marshall
Malta;Malta;Malta
Montenegro;Montenegro;Montenegro
Mauritania;Mauritânia;Mauritânia
Malaysia;Malásia;Malásia
Namibia;Namíbia;Namibia
New Caledonia;Nova Caledônia;Nova Caledônia
Nigeria;Nigéria;Nigéria
Nicaragua;Nicarágua;Nicarágua
Netherlands;Países Baixos;Antilhas Holandesas
Netherlands;Países Baixos;Países Baixos
Norway;Noruega;Noruega
New Zealand;Nova Zelândia;Nova Zelândia
Panama;Panamá;Panamá
Peru;Peru;Peru
Philippines;Filipinas;Filipinas
Poland;Polônia;Polônia
Puerto Rico;Porto Rico;Porto Rico
Portugal;Portugal;Portugal
Paraguay;Paraguai;Paraguai
Qatar;Catar;Catar
Russian Federation;Federação Russa;Rússia
Senegal;Senegal;Senegal
Singapore;Cingapura;Cingapura
Sierra Leone;Serra Leoa;Serra Leoa
El Salvador;El Salvador;El Salvador
Sao Tome and Principe;São Tomé e Príncipe;São Tomé e Príncipe
Suriname;Suriname;Suriname
Slovak Republic;República Eslovaca;Eslovaca, República
Sweden;Suécia;Suécia
Eswatini;Eswatini;Suazilândia
Togo;Togo;Togo
Thailand;Tailândia;Tailândia
Trinidad and Tobago;Trinidad e Tobago;Trinidade Tobago
Tunisia;Tunísia;Tunísia
Turkiye;Turquia;Turquia
Tuvalu;Tuvalu;Tuvalu
Tanzania;Tanzânia;Tanzânia
Uruguay;Uruguai;Uruguai
United States;Estados Unidos;Estados Unidos
St. Vincent and the Grenadines;São Vicente e Granadinas;São Vicente e Granadinas
Venezuela, RB;Venezuela, RB;Venezuela
Vietnam;Vietnã;Vietnã
Vanuatu;Vanuatu;Vanuatu
South Africa;África do Sul;África do Sul
