Grupo;Produto;Ano;Valor
VINHO DE MESA;Tinto;1970;174224052
VINHO DE MESA;Tinto;1971;121133369
VINHO DE MESA;Tinto;1972;118180926
VINHO DE MESA;Tinto;1973;88589019
VINHO DE MESA;Tinto;1974;146544484
VINHO DE MESA;Tinto;1975;144274134
VINHO DE MESA;Tinto;1976;118360170
VINHO DE MESA;Tinto;1977;154801826
VINHO DE MESA;Tinto;1978;162917363
VINHO DE MESA;Tinto;1979;154736439
VINHO DE MESA;Tinto;1980;101659755
VINHO DE MESA;Tinto;1981;134156175
VINHO DE MESA;Tinto;1982;183349460
VINHO DE MESA;Tinto;1983;87080528
VINHO DE MESA;Tinto;1984;119615028
VINHO DE MESA;Tinto;1985;216732390
VINHO DE MESA;Tinto;1986;118766694
VINHO DE MESA;Tinto;1987;97841160
VINHO DE MESA;Tinto;1988;173747942
VINHO DE MESA;Tinto;1989;136931173
VINHO DE MESA;Tinto;1990;154359897
VINHO DE MESA;Tinto;1991;90320836
VINHO DE MESA;Tinto;1992;118638894
VINHO DE MESA;Tinto;1993;125172218
VINHO DE MESA;Tinto;1994;161479717
VINHO DE MESA;Tinto;1995;167174017
VINHO DE MESA;Tinto;1996;115896909
VINHO DE MESA;Tinto;1997;116458841
VINHO DE MESA;Tinto;1998;102127865
VINHO DE MESA;Tinto;1999;168149414
VINHO DE MESA;Tinto;2000;208242670
VINHO DE MESA;Tinto;2001;175267437
VINHO DE MESA;Tinto;2002;215892333
VINHO DE MESA;Tinto;2003;155513687
VINHO DE MESA;Tinto;2004;254172425
VINHO DE MESA;Tinto;2005;180698666
VINHO DE MESA;Tinto;2006;149552555
VINHO DE MESA;Tinto;2007;228156220
VINHO DE MESA;Tinto;2008;241057928
VINHO DE MESA;Tinto;2009;164143454
VINHO DE MESA;Tinto;2010;157290088
VINHO DE MESA;Tinto;2011;210113358
VINHO DE MESA;Tinto;2012;175875432
VINHO DE MESA;Tinto;2013;163111797
VINHO DE MESA;Tinto;2014;157776363
VINHO DE MESA;Tinto;2015;169811472
VINHO DE MESA;Tinto;2016;75279191
VINHO DE MESA;Tinto;2017;1365957
VINHO DE MESA;Tinto;2018;188270142
VINHO DE MESA;Tinto;2019;121045115
VINHO DE MESA;Tinto;2020;103916391
VINHO DE MESA;Tinto;2021;146075996
VINHO DE MESA;Branco;1970;748400
VINHO DE MESA;Branco;1971;1160500
VINHO DE MESA;Branco;1972;1812367
VINHO DE MESA;Branco;1973;243900
VINHO DE MESA;Branco;1974;4138768
VINHO DE MESA;Branco;1975;1441507
VINHO DE MESA;Branco;1976;1871473
VINHO DE MESA;Branco;1977;4954387
VINHO DE MESA;Branco;1978;5079748
VINHO DE MESA;Branco;1979;7146395
VINHO DE MESA;Branco;1980;5363452
VINHO DE MESA;Branco;1981;12547739
VINHO DE MESA;Branco;1982;15782499
VINHO DE MESA;Branco;1983;12191896
VINHO DE MESA;Branco;1984;19502230
VINHO DE MESA;Branco;1985;23010666
VINHO DE MESA;Branco;1986;16872183
VINHO DE MESA;Branco;1987;27497857
VINHO DE MESA;Branco;1988;32660045
VINHO DE MESA;Branco;1989;24603265
VINHO DE MESA;Branco;1990;33512030
VINHO DE MESA;Branco;1991;25046588
VINHO DE MESA;Branco;1992;25446255
VINHO DE MESA;Branco;1993;31986075
VINHO DE MESA;Branco;1994;28291853
VINHO DE MESA;Branco;1995;15472732
VINHO DE MESA;Branco;1996;24073622
VINHO DE MESA;Branco;1997;41842945
VINHO DE MESA;Branco;1998;32140249
VINHO DE MESA;Branco;1999;42528150
VINHO DE MESA;Branco;2000;44902276
VINHO DE MESA;Branco;2001;44322836
VINHO DE MESA;Branco;2002;35329657
VINHO DE MESA;Branco;2003;40861639
VINHO DE MESA;Branco;2004;51719967
VINHO DE MESA;Branco;2005;39212146
VINHO DE MESA;Branco;2006;31738390
VINHO DE MESA;Branco;2007;42118552
VINHO DE MESA;Branco;2008;42942053
VINHO DE MESA;Branco;2009;39211278
VINHO DE MESA;Branco;2010;35408083
VINHO DE MESA;Branco;2011;46007504
VINHO DE MESA;Branco;2012;34938249
VINHO DE MESA;Branco;2013;32066403
VINHO DE MESA;Branco;2014;37438069
VINHO DE MESA;Branco;2015;39557250
VINHO DE MESA;Branco;2016;10727099
VINHO DE MESA;Branco;2017;217527985
VINHO DE MESA;Branco;2018;29229970
VINHO DE MESA;Branco;2019;22032828
VINHO DE MESA;Branco;2020;19568734
VINHO DE MESA;Branco;2021;26432799
VINHO DE MESA;Rosado;1970;42236152
VINHO DE MESA;Rosado;1971;31970782
VINHO DE MESA;Rosado;1972;26960004
VINHO DE MESA;Rosado;1973;27877426
VINHO DE MESA;Rosado;1974;43192093
VINHO DE MESA;Rosado;1975;31685568
VINHO DE MESA;Rosado;1976;24333795
VINHO DE MESA;Rosado;1977;35603565
VINHO DE MESA;Rosado;1978;32056558
VINHO DE MESA;Rosado;1979;49370148
VINHO DE MESA;Rosado;1980;23284978
VINHO DE MESA;Rosado;1981;39425814
VINHO DE MESA;Rosado;1982;35622605
VINHO DE MESA;Rosado;1983;20989120
VINHO DE MESA;Rosado;1984;38563073
VINHO DE MESA;Rosado;1985;35595899
VINHO DE MESA;Rosado;1986;22072645
VINHO DE MESA;Rosado;1987;25128167
VINHO DE MESA;Rosado;1988;38383071
VINHO DE MESA;Rosado;1989;20267523
VINHO DE MESA;Rosado;1990;22676272
VINHO DE MESA;Rosado;1991;11400830
VINHO DE MESA;Rosado;1992;19163270
VINHO DE MESA;Rosado;1993;14596702
VINHO DE MESA;Rosado;1994;12301693
VINHO DE MESA;Rosado;1995;32141555
VINHO DE MESA;Rosado;1996;12947240
VINHO DE MESA;Rosado;1997;24514261
VINHO DE MESA;Rosado;1998;16546829
VINHO DE MESA;Rosado;1999;15843212
VINHO DE MESA;Rosado;2000;19880630
VINHO DE MESA;Rosado;2001;9342185
VINHO DE MESA;Rosado;2002;8367750
VINHO DE MESA;Rosado;2003;6170398
VINHO DE MESA;Rosado;2004;8069892
VINHO DE MESA;Rosado;2005;6169620
