data;values
08/01/2024;75,47
05/01/2024;78,31
04/01/2024;75,79
03/01/2024;77,18
02/01/2024;76,24
29/12/2023;77,69
28/12/2023;79,04
27/12/2023;80,97
26/12/2023;80,23
22/12/2023;80,23
21/12/2023;80,73
20/12/2023;81,1
19/12/2023;79,82
18/12/2023;78,89
15/12/2023;76,84
14/12/2023;77,05
13/12/2023;74,14
12/12/2023;74,11
11/12/2023;75,75
08/12/2023;75,94
07/12/2023;74,21
06/12/2023;74,33
05/12/2023;77,27
04/12/2023;78,16
01/12/2023;78,72
30/11/2023;81,72
29/11/2023;82,98
28/11/2023;81,66
27/11/2023;79,49
24/11/2023;79,82
23/11/2023;80,85
22/11/2023;81,76
21/11/2023;82,42
20/11/2023;83,25
17/11/2023;81,22
16/11/2023;77,73
15/11/2023;82,4
14/11/2023;84,2
13/11/2023;84,09
10/11/2023;83,66
09/11/2023;81,74
08/11/2023;81,46
07/11/2023;83,43
06/11/2023;87,31
30/10/2023;90,73
27/10/2023;90,73
26/10/2023;88,45
25/10/2023;90,14
24/10/2023;88
23/10/2023;91,88
20/10/2023;93,72
19/10/2023;93,12
18/10/2023;91,99
17/10/2023;92,52
16/10/2023;90,99
13/10/2023;94,33
12/10/2023;88,4
11/10/2023;87,58
10/10/2023;90,7
09/10/2023;91,37
06/10/2023;87,86
05/10/2023;88,28
04/10/2023;89,83
03/10/2023;94,46
02/10/2023;91,21
29/09/2023;95,86
28/09/2023;96,55
27/09/2023;97,1
26/09/2023;94,46
25/09/2023;94,01
22/09/2023;93,99
21/09/2023;93,7
20/09/2023;94,56
19/09/2023;96,11
18/09/2023;95,95
15/09/2023;95,55
14/09/2023;95,2
13/09/2023;93,04
12/09/2023;93,58
11/09/2023;91,97
08/09/2023;91,85
07/09/2023;91,16
06/09/2023;91,79
05/09/2023;91,25
04/09/2023;90,42
31/08/2023;87,29
30/08/2023;86,62
29/08/2023;86,37
25/08/2023;85,42
24/08/2023;84,07
23/08/2023;83,94
22/08/2023;84,7
21/08/2023;85,44
18/08/2023;85,92
17/08/2023;85,24
16/08/2023;84,49
15/08/2023;86,28
14/08/2023;87,4
11/08/2023;87,93
10/08/2023;87,44
09/08/2023;89,31
08/08/2023;88
07/08/2023;86,47
04/08/2023;87,38
03/08/2023;86,19
02/08/2023;84,01
01/08/2023;85,34
31/07/2023;85,22
28/07/2023;84,49
27/07/2023;84,28
26/07/2023;82,98
25/07/2023;83,46
24/07/2023;82,53
21/07/2023;81,06
20/07/2023;79,62
19/07/2023;79,38
18/07/2023;79,54
17/07/2023;77,8
15/07/2023;77,8
14/07/2023;79,9
13/07/2023;81,31
12/07/2023;80,35
11/07/2023;79,54
10/07/2023;77,83
08/07/2023;77,83
07/07/2023;78,77
06/07/2023;76,72
05/07/2023;76,74
04/07/2023;76,23
03/07/2023;74,52
30/06/2023;74,51
29/06/2023;73,86
28/06/2023;73,64
27/06/2023;71,88
26/06/2023;73,86
23/06/2023;73,56
22/06/2023;73,93
21/06/2023;76,92
20/06/2023;75,79
19/06/2023;76,09
16/06/2023;76,76
15/06/2023;75,75
14/06/2023;73,39
13/06/2023;74,24
12/06/2023;71,8
09/06/2023;74,74
08/06/2023;75,88
07/06/2023;76,85
06/06/2023;76,22
05/06/2023;76,61
02/06/2023;76
01/06/2023;74,18
31/05/2023;71,98
30/05/2023;73,38
26/05/2023;76,33
25/05/2023;75,66
24/05/2023;77,99
23/05/2023;76,66
22/05/2023;75,77
19/05/2023;75,42
18/05/2023;75,75
17/05/2023;76,98
16/05/2023;75,15
15/05/2023;75,46
12/05/2023;74,54
11/05/2023;75,32
10/05/2023;76,7
09/05/2023;77,76
05/05/2023;75,85
04/05/2023;73
03/05/2023;72,91
02/05/2023;76,71
28/04/2023;81,32
27/04/2023;80,11
26/04/2023;79,19
25/04/2023;82,13
24/04/2023;84,23
21/04/2023;83,36
20/04/2023;83,29
19/04/2023;85,34
18/04/2023;85,48
17/04/2023;85,63
14/04/2023;87,31
13/04/2023;86,51
12/04/2023;88,31
11/04/2023;87,32
10/04/2023;86,56
06/04/2023;86,56
05/04/2023;85,89
04/04/2023;85,7
03/04/2023;85,81
31/03/2023;79,19
30/03/2023;78,45
29/03/2023;77,51
28/03/2023;78,07
27/03/2023;76,8
24/03/2023;73,63
23/03/2023;74,31
22/03/2023;76,08
21/03/2023;74,78
20/03/2023;72,42
17/03/2023;71,03
16/03/2023;73,12
15/03/2023;74,3
14/03/2023;76,77
13/03/2023;79,67
10/03/2023;82,3
09/03/2023;81
08/03/2023;82,1
07/03/2023;83,03
06/03/2023;85,86
03/03/2023;85,74
02/03/2023;84,15
01/03/2023;83,68
28/02/2023;83,21
27/02/2023;81,24
24/02/2023;82,31
23/02/2023;82,08
22/02/2023;79,55
21/02/2023;82,14
20/02/2023;82,79
17/02/2023;81,97
